source,split,profile,method,row,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
chirp_9db,validation,mixed_damage,pchip,13299.083333333334,3.0570669019950607,1.0773437655951483,1.764278106145607,0.5560585607653258,0.9924245546419629,-0.014184914137569865,0.6119447493824409
chirp_9db,validation,mixed_damage,template_1,13299.083333333334,3.1233698999134867,1.2528833623885847,1.6772723075192975,0.6791757154384735,1.1031261966526749,0.2445103721211905,0.4778341208476311
chirp_9db,validation,mixed_damage,zero_fill,13299.083333333334,2.9115186502383312,1.0,1.6870791615006446,0.5560585607653258,0.9692956933232196,,0.685095677626883
chirp_9db,validation,severe_4x,autoregression,13299.083333333334,2.9124156616587418,0.9954763903185478,1.7138796292905267,0.8638803530158711,1.192892221095746,0.06329886636464603,0.2542400013210285
chirp_9db,validation,severe_4x,dictionary_24,13299.083333333334,3.0086835632734403,1.1839935078222814,1.766060844414458,0.5087061053811137,0.9564899075065242,0.2399649586488022,0.6315815673718074
chirp_9db,validation,severe_4x,dictionary_48,13299.083333333334,2.924035906208882,1.1522121446747526,1.7291697477473065,0.48360544671971767,0.9167757210419231,0.21333760684720915,0.6540678392210988
chirp_9db,validation,severe_4x,dictionary_8,13299.083333333334,2.8165845035122508,1.097846518079517,1.6388775301747627,0.5760304045805235,0.9704811473327585,0.2785965253383538,0.6110631859374068
chirp_9db,validation,severe_4x,linear,13299.083333333334,2.925736901427556,1.0068621714489174,1.696710299161816,0.8638803530158711,1.1937186294748612,0.014793917513254038,0.24050444139969965
chirp_9db,validation,severe_4x,pca_r32_l01,13299.083333333334,4.102402038349108,1.8777833776330601,2.5287467420703633,0.617917287345676,1.223170607309572,0.20727781387427557,0.5356656928875112
chirp_9db,validation,severe_4x,pca_r64_l001,13299.083333333334,4.924804302826672,2.236437711252651,3.147724624912808,0.7089265633848845,1.4399465143209704,0.10148914040693198,0.479770704318379
chirp_9db,validation,severe_4x,pca_r64_l01,13299.083333333334,3.0078425538145095,1.1651582939372869,1.8367220655257437,0.4563099357516565,0.913889583124705,0.22916343720737817,0.6627507751625722
chirp_9db,validation,severe_4x,pca_r64_l1,13299.083333333334,2.8165729358292566,0.9848562692199528,1.6249666260939406,0.4486105084172512,0.8852873290895925,0.270021821398984,0.6710775655616219
chirp_9db,validation,severe_4x,pca_r96_l01,13299.083333333334,2.8511883404370675,1.049335061410803,1.6969280636323758,0.40677118122348715,0.8553781529264856,0.2604453018066371,0.6900559910925413
chirp_9db,validation,severe_4x,pchip,13299.083333333334,2.925646023832785,1.0064200148657434,1.695604603567231,0.8638803530158711,1.1938374676998087,0.010737303617445746,0.24042836608288873
chirp_9db,validation,severe_4x,template_1,13299.083333333334,3.032731224026039,1.1866992534370582,1.6929274778534593,0.6998803911187906,1.1038378157027005,0.14942154086004572,0.4497569908139372
chirp_9db,validation,severe_4x,zero_fill,13299.083333333334,2.9115186502383312,1.0,1.6870791615006446,0.8638803530158711,1.1916119955535625,,0.2443868972962582
chirp_9db,validation,short_gaps,autoregression,13299.083333333334,4.4018396078857736,1.2401060144329545,2.7723003215494226,0.0,0.7781426591078909,0.18074316245120212,0.7303915690330535
chirp_9db,validation,short_gaps,dictionary_24,13299.083333333334,2.3491623780121587,0.9166109677811155,1.5893525877563377,0.0,0.41527716190017827,0.5297280063341835,0.9210832796497644
chirp_9db,validation,short_gaps,dictionary_48,13299.083333333334,2.378299800030949,0.8918117376041018,1.608587083186264,0.0,0.4204279790741235,0.4743593176782505,0.9233223986488888
chirp_9db,validation,short_gaps,dictionary_8,13299.083333333334,2.6238476785013574,0.9083569351025108,1.7782840441436907,0.0,0.46383512156722245,0.42906175472105845,0.91333270931423
chirp_9db,validation,short_gaps,linear,13299.083333333334,4.010259326887595,1.1779973122917518,2.5541804062967812,0.0,0.7089203910897046,-0.007761111234929129,0.7436598401938913
chirp_9db,validation,short_gaps,pca_r32_l01,13299.083333333334,5.02786525015064,1.8586005296301085,3.281628877772254,0.0,0.8888094033184287,0.4970111369555059,0.8039332864229785
chirp_9db,validation,short_gaps,pca_r64_l001,13299.083333333334,5.587817884890176,2.3651216604885863,3.492738147626556,0.0,0.9877959796103287,0.4945172444748706,0.8071708771417064
chirp_9db,validation,short_gaps,pca_r64_l01,13299.083333333334,4.101431158301448,1.69183490720055,2.650346569968864,0.0,0.7250374461511876,0.5350068509820164,0.8610615258596397
chirp_9db,validation,short_gaps,pca_r64_l1,13299.083333333334,2.4523824744377554,0.8826218280377683,1.6572485067838552,0.0,0.4335240694344955,0.6064006413471343,0.9307165804448535
chirp_9db,validation,short_gaps,pca_r96_l01,13299.083333333334,2.6175810006696283,1.0689592933455512,1.683471920285964,0.0,0.46272731896964076,0.7349087288290157,0.9219796539100734
chirp_9db,validation,short_gaps,pchip,13299.083333333334,4.057151107594171,1.2020260115390973,2.581405736008094,0.0,0.7172097651195876,-0.028299191054739218,0.743170766148669
chirp_9db,validation,short_gaps,template_1,13299.083333333334,3.1107831456168515,1.0177365572878212,2.033370243667415,0.0,0.5499139642666238,0.4049377940924958,0.8783676785771136
chirp_9db,validation,short_gaps,zero_fill,13299.083333333334,3.501656114099982,1.0,2.27594635281411,0.0,0.6190111959158582,,0.7966719138656125
