source,split,profile,row,method,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
chirp_9db,validation,short_gaps,14126,pca_r64_l1,2.1717059807273853,0.3955769287134942,1.3245148249953498,0.0,0.38390700642892894,0.9367045583388,0.9439380996171123
chirp_9db,validation,short_gaps,14126,template_1,3.6745634994182566,0.6693228993068978,2.1746178746629337,0.0,0.6495771920848049,0.7485496646036384,0.7960410886531357
chirp_9db,validation,short_gaps,14126,dictionary_8,2.841843654896321,0.5176427172297478,1.7732467042035647,0.0,0.5023717298622878,0.9597381148384365,0.9312915711860886
chirp_9db,validation,short_gaps,14126,dictionary_24,2.0457107186340844,0.3726268520209641,1.290922545658649,0.0,0.36163398037304156,0.982392299435608,0.9712395967318361
chirp_9db,validation,short_gaps,14126,dictionary_48,1.8443142598430093,0.33594242359034227,1.1060882525162559,0.0,0.32603177994351007,0.971555660736516,0.9697868166103754
chirp_9db,validation,short_gaps,14362,zero_fill,2.7927381533430795,1.0,1.79732099933508,0.0,0.493691021576822,,0.9170792263053634
chirp_9db,validation,short_gaps,14362,linear,2.848536564146845,1.0199798218594076,1.863495689688055,0.0,0.5035548802415157,-0.10020574828078355,0.913601569840843
chirp_9db,validation,short_gaps,14362,pchip,2.8369662783591507,1.0158368320220523,1.8554598154612003,0.0,0.5015095233563295,-0.09995995736364784,0.9143133054005482
chirp_9db,validation,short_gaps,14362,autoregression,5.046325625100597,1.806945495072581,3.112819656896429,0.0,0.8920727673960188,0.028352471163812353,0.7682179402250329
chirp_9db,validation,short_gaps,14362,pca_r32_l01,3.1165805129133335,1.1159587264500952,2.012699394293721,0.0,0.5509388036987166,0.7600418835338673,0.920409414628676
chirp_9db,validation,short_gaps,14362,pca_r64_l01,3.052635992612529,1.0930620147679566,1.8171053746402346,0.0,0.5396349027176117,0.2456182552977343,0.9022375782385842
chirp_9db,validation,short_gaps,14362,pca_r96_l01,2.2374710676428005,0.801174669728492,1.4369767887742777,0.0,0.39553274115973214,0.6748970719768189,0.9489009759606964
