sample,modality,degradation,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
14,thermal,severe,bilateral_clahe,15.193835862877975,0.7100344048502225,40.575,30.272084805058515
14,thermal,severe,nlm_clahe,15.739050329775273,0.7332885775754153,38.120078125,29.394372725667846
14,thermal,severe,nlm_clahe_unsharp,15.719247678576648,0.7317702997752817,38.104453125,29.706499582545014
14,thermal,severe,auto_mask_telea_inpaint,16.98806050404105,0.5966444773035373,31.398502604166666,20.450446372120666
14,thermal,motion,degraded_input,19.93567648218656,0.8334982289182359,21.49796875,28.680024120720287
14,thermal,motion,nlm_only_conservative,20.086564048288157,0.8387415297387774,21.353502604166668,27.830813818841346
14,thermal,motion,bilateral_only_conservative,20.06601258621354,0.8376980199272988,21.500338541666668,27.635708451789643
14,thermal,motion,gaussian_clahe,16.04957662995101,0.7683910349981208,35.539479166666666,37.53563706367637
14,thermal,motion,median_clahe,15.990340062829567,0.7638920666794332,35.657513020833335,37.51715790331041
14,thermal,motion,bilateral_clahe,16.645258113187325,0.7944869173515188,33.28404947916667,37.61301553304586
14,thermal,motion,nlm_clahe,17.2660961144975,0.8180890620243576,31.012122395833334,37.41712748500422
14,thermal,motion,nlm_clahe_unsharp,17.246057624506946,0.8172049351710049,30.979596354166667,37.70706183629784
14,thermal,motion,auto_mask_telea_inpaint,20.17146485299979,0.8180178394300173,21.689544270833334,27.169299858755945
23,optical,moderate,degraded_input,19.80636409250637,0.7921788997906487,19.3527734375,25.56721672384837
23,optical,moderate,nlm_only_conservative,19.361932968014205,0.770941274809782,20.368971354166668,24.708123735724442
23,optical,moderate,bilateral_only_conservative,19.661496670309315,0.7813109019396609,19.749140625,24.884218308611196
23,optical,moderate,gaussian_clahe,19.333084694557147,0.854153515517088,20.359670138888887,40.74231628753981
23,optical,moderate,median_clahe,19.34282987583029,0.8539001648658389,20.306783854166667,40.53132215261149
23,optical,moderate,bilateral_clahe,19.295605745052374,0.8549802438799069,20.331631944444446,40.47755140448516
23,optical,moderate,nlm_clahe,19.006661687292215,0.8412601020929009,21.11171875,38.588770411870584
23,optical,moderate,nlm_clahe_unsharp,19.030070283250463,0.8441871679833169,21.035225694444446,39.07528347005791
23,optical,moderate,auto_mask_telea_inpaint,18.02353863897882,0.6799619650597704,23.093441840277777,26.81686350463928
23,optical,severe,degraded_input,17.312898013869372,0.5890536820225714,27.27684027777778,17.98198797271424
23,optical,severe,nlm_only_conservative,17.222710801014433,0.5743305733788148,27.616961805555555,16.47890756300445
23,optical,severe,bilateral_only_conservative,17.35295553039107,0.5881122969010344,27.23997829861111,16.992437865128522
23,optical,severe,gaussian_clahe,17.716169389711133,0.7436039937291283,25.46740017361111,30.785485844766583
23,optical,severe,median_clahe,17.69871823745824,0.742030067933059,25.551649305555557,30.766375635161346
23,optical,severe,bilateral_clahe,18.012607245555184,0.7615694341547204,24.3711328125,30.381425304056442
23,optical,severe,nlm_clahe,17.975451305176914,0.748013297532863,24.550125868055556,28.20603698681291
23,optical,severe,nlm_clahe_unsharp,17.98479405259308,0.7496736963004479,24.509275173611112,28.379149692537606
