source_file,row,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,bilateral_clahe,17.01714098753803,0.7222687403957907,29.273181490384616,31.218736508373784
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,nlm_clahe,17.95449529668951,0.731697005135234,24.395173878205128,30.05835418626146
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,nlm_clahe_unsharp,17.958614160047905,0.7333535022597176,24.361464743589742,30.228376891262148
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,mask_assisted_telea_inpaint,17.935454208236475,0.7034477168550018,25.396774439102565,25.76583280021793
ORB3H_p1350_tr60_Ch_9dB_v1.h5,500,blind_trace_interpolation,18.112225190006512,0.684753161378251,22.716143830128207,26.411791580146346
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,degraded_input,18.183163067979322,0.6619757834908496,22.800974358974358,23.40941878163119
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,nlm_only_conservative,18.21281005743017,0.6666220564575952,22.72436378205128,23.16790567890533
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,bilateral_only_conservative,18.21252317992461,0.6620159733067441,22.79977764423077,23.092240098736927
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,gaussian_clahe,16.7548735706816,0.7174815021632571,30.89483012820513,30.668997928216893
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,median_clahe,16.73291014075419,0.7156617325831384,30.963878205128204,30.68392402669043
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,bilateral_clahe,17.21623725272547,0.7260336798318017,28.855048076923076,30.04562677519471
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,nlm_clahe,18.254409390841396,0.7373120148579957,23.699722756410257,28.76254636422365
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,nlm_clahe_unsharp,18.259166552408285,0.7389328048429367,23.66473798076923,28.93119723193741
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,mask_assisted_telea_inpaint,18.22717219346909,0.7220507795811135,24.944546073717948,25.351329563905907
ORB3H_p1350_tr60_Ch_9dB_v1.h5,5000,blind_trace_interpolation,18.396686114624956,0.7022060005491806,22.335602163461537,26.181488629078164
ORB3H_p1350_tr60_v3.h5,500,degraded_input,16.785393855574707,0.5760468402833163,25.01724358974359,24.54020171413786
ORB3H_p1350_tr60_v3.h5,500,nlm_only_conservative,16.794931629246793,0.5796431091837785,24.964538862179488,24.347290474079465
ORB3H_p1350_tr60_v3.h5,500,bilateral_only_conservative,16.79898022987632,0.57457669508443,25.036820112179488,24.214790933295838
ORB3H_p1350_tr60_v3.h5,500,gaussian_clahe,15.67977293144635,0.6643352847962604,33.16370633012821,35.72442279683736
ORB3H_p1350_tr60_v3.h5,500,median_clahe,15.681947056299588,0.6612020486090022,33.035185496794874,35.658394012206266
ORB3H_p1350_tr60_v3.h5,500,bilateral_clahe,16.035375642117064,0.6737055675545178,31.22633934294872,35.23930694045442
ORB3H_p1350_tr60_v3.h5,500,nlm_clahe,16.79932031124897,0.6814386803998557,26.369414663461537,33.61776734674401
ORB3H_p1350_tr60_v3.h5,500,nlm_clahe_unsharp,16.804346425038737,0.6834512285204882,26.326460737179488,33.799408210715
ORB3H_p1350_tr60_v3.h5,500,mask_assisted_telea_inpaint,17.84775718753704,0.7217908672607912,25.591051682692306,26.289109198915302
ORB3H_p1350_tr60_v3.h5,500,blind_trace_interpolation,16.987413104825087,0.619912311623015,24.452449919871796,27.596112613557104
ORB3H_p1350_tr60_v3.h5,5000,degraded_input,17.73118637013802,0.6456936707586606,23.52140544871795,24.312338217982578
ORB3H_p1350_tr60_v3.h5,5000,nlm_only_conservative,17.75283209407749,0.6497164623655389,23.440421474358974,24.097661251099986
ORB3H_p1350_tr60_v3.h5,5000,bilateral_only_conservative,17.752765852209812,0.6451303427755958,23.52938982371795,23.99974826089917
ORB3H_p1350_tr60_v3.h5,5000,gaussian_clahe,16.490896095399048,0.7111091374086335,31.358959134615386,32.47354337878845
ORB3H_p1350_tr60_v3.h5,5000,median_clahe,16.511389644974372,0.7108640756157246,31.22780168269231,32.475421753121616
ORB3H_p1350_tr60_v3.h5,5000,bilateral_clahe,16.909589784507915,0.7193858041397441,29.387876602564102,31.926395492502017
ORB3H_p1350_tr60_v3.h5,5000,nlm_clahe,17.750160034200096,0.7267511383054811,24.77896394230769,30.75016054118104
ORB3H_p1350_tr60_v3.h5,5000,nlm_clahe_unsharp,17.76097597359318,0.7286329466886502,24.737795272435896,30.888098029017847
ORB3H_p1350_tr60_v3.h5,5000,mask_assisted_telea_inpaint,18.25669770689537,0.7145793608617811,24.51145793269231,23.901163826520172
ORB3H_p1350_tr60_v3.h5,5000,blind_trace_interpolation,17.95265743042564,0.6867111048731005,23.017638621794873,27.165755772401706
